id,title,description,link,image_link,availability,price,brand,identifier_exists,condition
SBSV7183,Assembly Chain Bracelet,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"">Assembly Chain Bracelet</span></p>",https://www.littleliffner.com/products/assembly-chain-bracelet,https://cdn.shopify.com/s/files/1/0108/5022/products/assembly-chain-bracelet-936449.jpg?v=1667938212,in stock,7900.00,brand name,no,new
CR3691-10,Cannoli Bag Cotton Black & White - 30% off,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;""> Cannoli Bag Glossy Black</span></p>",https://www.littleliffner.com/products/cannoli-bag-cotton-black-white,https://cdn.shopify.com/s/files/1/0108/5022/products/cannoli-bag-cotton-black-white-371854.jpg?v=1677025730,in stock,2750.00,brand name,no,new
CR3716-1,Chained Belt Black - 50% off,"<meta charset=""utf-8""><span style=""color: #f8f5f0;"">Chained Belt Black</span>",https://www.littleliffner.com/products/chained-belt-black,https://cdn.shopify.com/s/files/1/0108/5022/products/chained-belt-black-190274.jpg?v=1669063009,out of stock,1125.00,brand name,no,new
CR3716-2,Chained Belt Dark Brown Croc-Embossed - 50% off,"<meta charset=""utf-8""><span style=""color: #f8f5f0;"">Chained Belt Dark Brown Croc-Embossed</span>",https://www.littleliffner.com/products/chained-belt-dark-brown-croc-embossed,https://cdn.shopify.com/s/files/1/0108/5022/products/chained-belt-dark-brown-croc-embossed-137392.jpg?v=1669063008,out of stock,1125.00,brand name,no,new
SE32970PRL,Cloud Pearl Earrings Silver,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Cloud Pearl Earrings Silver</span></p>",https://www.littleliffner.com/products/cloud-pearl-earrings-silver,https://cdn.shopify.com/s/files/1/0108/5022/products/cloud-pearl-earrings-silver-994217.jpg?v=1667938236,in stock,2900.00,brand name,no,new
SEGG32947C,Dalmatian Barbell Gold,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Dalmatian Barbell Gold</span></p>",https://www.littleliffner.com/products/dalmatian-barbell-gold,https://cdn.shopify.com/s/files/1/0108/5022/products/dalmatian-barbell-gold-548838.jpg?v=1667938235,in stock,2900.00,brand name,no,new
SE32947CUS,Dalmatian Barbell Silver,"<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f8f5f0;"" mce-data-marked=""1"">Dalmatian Barbell Silver</span></p>",https://www.littleliffner.com/products/dalmatian-barbell-silver,https://cdn.shopify.com/s/files/1/0108/5022/products/dalmatian-barbell-silver-351038.jpg?v=1667938235,in stock,2700.00,brand name,no,new
CR3624-1,Flow Corset Black,"<div data-mce-fragment=""1""><div style=""text-align: left;"" data-mce-fragment=""1""><span style=""text-align: center; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">Express shipping options available</span><br><span style=""text-align: center; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;"">Free exchanges in 14 days</span><br></div></div>",https://www.littleliffner.com/products/flow-corset-black,https://cdn.shopify.com/s/files/1/0108/5022/products/flow-corset-black-541086.jpg?v=1627662077,out of stock,2950.00,brand name,no,new
CR3624-12,Flow Corset Black Suede,"<meta charset=""utf-8""><span style=""color: #f8f5f0;"" data-mce-fragment=""1"">THE FLOW CORSET IS AN ORGANIC SHAPED WIDE BELT TO BE WORN ON YOUR WAIST</span>",https://www.littleliffner.com/products/flow-corset-black-suede,https://cdn.shopify.com/s/files/1/0108/5022/products/flow-corset-black-suede-825455.jpg?v=1683295668,in stock,2950.00,brand name,no,new
CR3624-6,Flow Corset Brown,"<meta charset=""utf-8""><span style=""color: #f8f5f0;"" data-mce-fragment=""1"">THE FLOW CORSET IS AN ORGANIC SHAPED WIDE BELT TO BE WORN ON YOUR WAIST</span>",https://www.littleliffner.com/products/flow-corset-brown,https://cdn.shopify.com/s/files/1/0108/5022/products/flow-corset-brown-559108.jpg?v=1682552885,out of stock,2950.00,brand name,no,new
