id,title,description,link,availability,price,brand,gtin,mpn,condition
SBSV7183,Assembly Chain Bracelet,description,https://www.littleliffner.com/products/assembly-chain-bracelet,in stock,7900.00,,,,refurbished
CR3691-10,Cannoli Bag Cotton Black & White - 30% off,description,https://www.littleliffner.com/products/cannoli-bag-cotton-black-white,in stock,2750.00,,,,refurbished
CR3716-1,Chained Belt Black - 50% off,description,https://www.littleliffner.com/products/chained-belt-black,out of stock,1125.00,,,,refurbished
CR3716-2,Chained Belt Dark Brown Croc-Embossed - 50% off,description,https://www.littleliffner.com/products/chained-belt-dark-brown-croc-embossed,out of stock,1125.00,,,,refurbished
SE32970PRL,Cloud Pearl Earrings Silver,description,https://www.littleliffner.com/products/cloud-pearl-earrings-silver,in stock,2900.00,,,,refurbished
SEGG32947C,Dalmatian Barbell Gold,description,https://www.littleliffner.com/products/dalmatian-barbell-gold,in stock,2900.00,,,,refurbished
SE32947CUS,Dalmatian Barbell Silver,description,https://www.littleliffner.com/products/dalmatian-barbell-silver,in stock,2700.00,,,,refurbished
CR3624-1,Flow Corset Black,description,https://www.littleliffner.com/products/flow-corset-black,out of stock,2950.00,,,,refurbished
CR3624-12,Flow Corset Black Suede,description,https://www.littleliffner.com/products/flow-corset-black-suede,in stock,2950.00,,,,refurbished
CR3624-6,Flow Corset Brown,description,https://www.littleliffner.com/products/flow-corset-brown,out of stock,2950.00,,,,refurbished
CR3624-13,Flow Corset Mushroom Suede,description,https://www.littleliffner.com/products/flow-corset-mushroom-suede,in stock,2950.00,,,,refurbished
,Gift Card,description,https://www.littleliffner.com/products/gift-card,in stock,1200.00,,,,refurbished
SRGG14018,Ice Cube Pinky Ring Gold,description,https://www.littleliffner.com/products/ice-cube-pinky-ring-gold,in stock,2900.00,,,,refurbished
SR14018,Ice Cube Pinky Ring Silver,description,https://www.littleliffner.com/products/ice-cube-pinky-ring-silver,in stock,2700.00,,,,refurbished
CR2020,Knotted Mini Tote - 50% off,description,https://www.littleliffner.com/products/knotted-mini-tote,in stock,1125.00,,,,refurbished
CR2019,Knotted Tote - 50% off,description,https://www.littleliffner.com/products/knotted-tote,in stock,1250.00,,,,refurbished
CR3670-2,Long Fine Belt Black - 50% off,description,https://www.littleliffner.com/products/long-fine-belt-black,out of stock,875.00,,,,refurbished
CR3586-23,Maccheroni Bag Biscotto,description,https://www.littleliffner.com/products/maccheroni-bag-biscotto,in stock,5250.00,,,,refurbished
CR3514-1,Maccheroni Bag Black,description,https://www.littleliffner.com/products/maccheroni-bag-black,in stock,5250.00,,,,refurbished
CR3768-6,Maccheroni Bag Black Suede,description,https://www.littleliffner.com/products/maccheroni-bag-black-suede,in stock,5250.00,,,,refurbished
CR3768-5,Maccheroni Bag Black Suede Gold,description,https://www.littleliffner.com/products/maccheroni-bag-black-suede-gold,in stock,5250.00,,,,refurbished
CR3586-22,Maccheroni Bag Caramel,description,https://www.littleliffner.com/products/maccheroni-bag-caramel,out of stock,5250.00,,,,refurbished
CR3586-30,Maccheroni Bag Cream / Gray,description,https://www.littleliffner.com/products/maccheroni-bag-stripe-cream-gray,in stock,5250.00,,,,refurbished
CR3586-26,Maccheroni Bag Croc Embossed Dark Brown,description,https://www.littleliffner.com/products/maccheroni-bag-croc-embossed-dark-brown,in stock,5250.00,,,,refurbished
CR3586-29,Maccheroni Bag Fondant,description,https://www.littleliffner.com/products/maccheroni-bag-fondant,in stock,5250.00,,,,refurbished
