id,title,description,google_product_category,link,image_link,availability,price,brand,identifier_exists,condition
CR2001,"Macrame Mini Bag - 50% off","<meta charset=""utf-8""><p><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span></p><div id=""gtx-trans"" style=""position: absolute; left: 230px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/macrame-mini-bag?variant=28189223682141,https://cdn.shopify.com/s/files/1/0108/5022/products/macrame-mini-bag-818897.jpg?v=1610959115,in stock,95.0,Little Liffner,no,new
CR2020,"Knotted Mini Tote - 50% off","<meta charset=""utf-8""><span style=""color: #f8f5f0;"" data-mce-fragment=""1"">Designed in Stockholm, made in Italy</span><div id=""gtx-trans"" style=""position: absolute; left: -128px; top: -20px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/knotted-mini-tote?variant=32171698126941,https://cdn.shopify.com/s/files/1/0108/5022/products/knotted-mini-tote-215307.jpg?v=1610959100,in stock,140.0,Little Liffner,no,new
CR3631-3,"Maccheroni Belt Brown - 50% off","<meta charset=""utf-8""><span style=""color: #f8f5f0;"">WAIST BELT WITH THE LITTLE LIFFNER NEW BOLD ‘MACCHERONI’ LOCK IN SILVER. </span><div id=""gtx-trans"" style=""position: absolute; left: 161px; top: -20px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/maccheroni-belt-brown?variant=39358469177437,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-belt-brown-480227.jpg?v=1626797104,in stock,120.0,Little Liffner,no,new
CR3514-1,"Maccheroni Bag Black","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Black</span></p><div id=""gtx-trans"" style=""position: absolute; left: 7px; top: -19px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/maccheroni-bag-black?variant=39375983247453,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-black-780884.jpg?v=1694576057,in stock,595.0,Little Liffner,no,new
CR3495-4,"Soft Handle Mini Bag - 60% off","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Lizard</span></p>",,https://www.littleliffner.com/products/soft-handle-mini-bag?variant=39767303585885,https://cdn.shopify.com/s/files/1/0108/5022/products/soft-handle-mini-bag-673966.jpg?v=1644360695,out of stock,105.0,Little Liffner,no,new
CR3586-11,"Maccheroni Bag Light Brown","<meta charset=""utf-8""><p data-mce-fragment=""1""><span style=""color: #f2ede9;""> Maccheromi Bag Light Brown</span></p><div id=""gtx-trans"" style=""position: absolute; left: 133px; top: 27px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/maccheroni-bag-light-brown?variant=39824133324893,https://cdn.shopify.com/s/files/1/0108/5022/products/maccheroni-bag-light-brown-668563.jpg?v=1693333128,in stock,595.0,Little Liffner,no,new
LE0010-3,"Wool Blanket Light Blue - 50% off","<span style=""color: #f2ede9;"">Wool Blanket Light Blue</span><div id=""gtx-trans"" style=""position: absolute; left: 108px; top: 25.5px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/wool-blanket-light-blue?variant=39847171358813,https://cdn.shopify.com/s/files/1/0108/5022/products/wool-blanket-light-blue-911431.jpg?v=1646091071,in stock,160.0,Little Liffner,no,new
LE0010-2,"Wool Blanket Peach - 50% off","<span style=""color: #f2ede9;"">Wool Blanket Peach</span><div id=""gtx-trans"" style=""position: absolute; left: 98px; top: 25.5px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/wool-blanket-peach?variant=39853844136029,https://cdn.shopify.com/s/files/1/0108/5022/products/wool-blanket-peach-343625.jpg?v=1646091070,in stock,160.0,Little Liffner,no,new
LE0010-4,"Wool Blanket Neutral Check - 50% off","<span style=""color: #f2ede9;"">Wool Blanket Neutral Check</span><div id=""gtx-trans"" style=""position: absolute; left: 95px; top: -20px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/wool-blanket-neutral-check?variant=39853844267101,https://cdn.shopify.com/s/files/1/0108/5022/products/wool-blanket-neutral-check-376754.jpg?v=1646091069,in stock,160.0,Little Liffner,no,new
CR3715-1,"Sprout Tote Black Suede","<meta charset=""utf-8""><span style=""color: #f8f5f0;""> <meta charset=""utf-8"">Designed in Stockholm, made in Italy</span><div id=""gtx-trans"" style=""position: absolute; left: 70px; top: 25.5px;""><div class=""gtx-trans-icon""></div></div>",,https://www.littleliffner.com/products/sprout-tote-black-suede?variant=40397896024157,https://cdn.shopify.com/s/files/1/0108/5022/products/sprout-tote-black-suede-956657.jpg?v=1683159364,in stock,575.0,Little Liffner,no,new
